ID,classID,class,kW,zenfuka,heater_A,kidoID,kido,syadanID,syadan,bunki
376,1,200V,45,164,150,2,Y△,0,25,☆
377,1,200V,55,195,180,2,Y△,0,25,☆
378,1,200V,75,267,250,2,Y△,0,25,☆
379,1,200V,90,320,330,2,Y△,0,25,☆
380,1,200V,110,385,330,2,Y△,0,25,☆
381,1,200V,132,470,500,2,Y△,0,25,☆
382,1,200V,160,580,500,2,Y△,0,25,☆
383,1,200V,200,720,600,2,Y△,0,25,☆
384,1,200V,5.5,22,22,2,Y△,0,30,"NF125-CV 50"
385,1,200V,7.5,29,29,2,Y△,0,30,"NF125-CV 60"
386,1,200V,11,44,42,2,Y△,0,30,"NF125-CV 75"
387,1,200V,15,55,54,2,Y△,0,30,"NF125-CV 100"
388,1,200V,18.5,67,67,2,Y△,0,30,"NF125-CV 100"
389,1,200V,22,85,82,2,Y△,0,36,"NF250-CV 150"
390,1,200V,30,110,105,2,Y△,0,36,"NF250-CV 175"
391,1,200V,37,130,125,2,Y△,0,36,"NF250-CV 225"
392,1,200V,45,164,150,2,Y△,0,30,☆
393,1,200V,55,195,180,2,Y△,0,30,☆
394,1,200V,75,267,250,2,Y△,0,30,☆
395,1,200V,90,320,330,2,Y△,0,30,☆
396,1,200V,110,385,330,2,Y△,0,30,☆
397,1,200V,132,470,500,2,Y△,0,30,☆
398,1,200V,160,580,500,2,Y△,0,30,☆
399,1,200V,200,720,600,2,Y△,0,30,☆
400,1,200V,5.5,22,22,2,Y△,0,50,"NF125-SV 50"
401,1,200V,7.5,29,29,2,Y△,0,50,"NF125-SV 60"
402,1,200V,11,44,42,2,Y△,0,50,"NF125-SV 75"
403,1,200V,15,55,54,2,Y△,0,50,"NF125-SV 100"
404,1,200V,18.5,67,67,2,Y△,0,50,"NF125-SV 100"
405,1,200V,22,85,82,2,Y△,0,50,☆
406,1,200V,30,110,105,2,Y△,0,50,☆
407,1,200V,37,130,125,2,Y△,0,50,☆
408,1,200V,45,164,150,2,Y△,0,50,"NF400-CW 350"
409,1,200V,55,195,180,2,Y△,0,50,"NF630-CW 500"
410,1,200V,75,267,250,2,Y△,0,50,"NF630-CW 600"
411,1,200V,90,320,330,2,Y△,0,50,"NF800-CEW 600"
412,1,200V,110,385,330,2,Y△,0,50,"NF800-CEW 600"
413,1,200V,132,470,500,2,Y△,0,50,☆
414,1,200V,160,580,500,2,Y△,0,50,☆
415,1,200V,200,720,600,2,Y△,0,50,☆
416,1,200V,5.5,22,22,2,Y△,0,85,"NF63-HRV 50"
417,1,200V,7.5,29,29,2,Y△,0,85,☆
418,1,200V,11,44,42,2,Y△,0,85,☆
419,1,200V,15,55,54,2,Y△,0,85,☆
420,1,200V,18.5,67,67,2,Y△,0,85,☆
421,1,200V,22,85,82,2,Y△,0,85,"NF250-SV 150"
422,1,200V,30,110,105,2,Y△,0,85,"NF250-SV 175"
423,1,200V,37,130,125,2,Y△,0,85,"NF250-SV 225"
424,1,200V,45,164,150,2,Y△,0,85,"NF400-SW 250"
425,1,200V,55,195,180,2,Y△,0,85,"NF400-SW 300"
426,1,200V,75,267,250,2,Y△,0,85,"NF630-SW 500"
427,1,200V,90,320,330,2,Y△,0,85,"NF630-SW 600"
428,1,200V,110,385,330,2,Y△,0,85,"NF630-SEW 600"
429,1,200V,132,470,500,2,Y△,0,85,☆
430,1,200V,160,580,500,2,Y△,0,85,☆
431,1,200V,200,720,600,2,Y△,0,85,☆
432,1,200V,5.5,22,22,2,Y△,0,100,"NF125-HV 50"
433,1,200V,7.5,29,29,2,Y△,0,100,"NF125-HV 60"
434,1,200V,11,44,42,2,Y△,0,100,"NF125-HV 75"
435,1,200V,15,55,54,2,Y△,0,100,"NF125-HV 100"
436,1,200V,18.5,67,67,2,Y△,0,100,"NF125-HV 100"
437,1,200V,22,85,82,2,Y△,0,100,"NF250-HV 150"
438,1,200V,30,110,105,2,Y△,0,100,"NF250-HV 175"
439,1,200V,37,130,125,2,Y△,0,100,"NF250-HV 225"
440,1,200V,45,164,150,2,Y△,0,100,"NF400-HEW 250"
441,1,200V,55,195,180,2,Y△,0,100,"NF400-HEW 300"
442,1,200V,75,267,250,2,Y△,0,100,"NF400-HEW 400"
443,1,200V,90,320,330,2,Y△,0,100,"NF630-HEW 500"
444,1,200V,110,385,330,2,Y△,0,100,"NF630-HEW 600"
445,1,200V,132,470,500,2,Y△,0,100,☆
446,1,200V,160,580,500,2,Y△,0,100,☆
